Type,Address,alpha2code,city,postal_code,region
IPv4,185.92.220.0/23,NL,Amsterdam,2031,NL-NH
IPv4,185.92.222.0/23,NL,Amsterdam,2031,NL-NH
IPv4,192.248.128.0/20,NL,Amsterdam,2031,NL-NH
IPv4,192.248.144.0/20,GB,London,E14 9SZ,GB-LND
IPv4,192.248.160.0/20,GB,London,E14 9SZ,GB-LND
IPv4,192.248.176.0/20,DE,Frankfurt,D-60314,DE-HE
IPv4,198.13.32.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,198.13.48.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,199.247.0.0/21,DE,Frankfurt,D-60314,DE-HE
IPv4,199.247.8.0/21,FR,AUBERVILLIERS,93300,FR-93
IPv4,199.247.16.0/21,DE,Frankfurt,D-60314,DE-HE
IPv4,199.247.24.0/21,NL,Amsterdam,2031,NL-NH
IPv4,202.182.96.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,202.182.112.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,207.148.0.0/21,US,Dallas,75201,US-TX
IPv4,207.148.8.0/21,US,Elk Grove Village,60007,US-IL
IPv4,207.148.16.0/20,US,Piscataway,08854,US-NJ
IPv4,207.148.64.0/20,SG,Singapore,627753,SG-05
IPv4,207.148.80.0/21,AU,Alexandria,2015,AU-NSW
IPv4,207.148.88.0/21,JP,Shinagawa-ku,142-0002,JP-13
IPv4,207.148.96.0/20,JP,Shinagawa-ku,142-0002,JP-13
IPv4,207.148.112.0/22,JP,Shinagawa-ku,142-0002,JP-13
IPv4,207.148.116.0/22,SG,Singapore,627753,SG-05
IPv4,207.148.120.0/21,SG,Singapore,627753,SG-05
IPv4,207.246.64.0/20,US,Miami,33142,US-FL
IPv4,207.246.80.0/20,US,Piscataway,08854,US-NJ
IPv4,207.246.96.0/20,US,Los Angeles,90012,US-CA
IPv4,207.246.112.0/21,US,Miami,33142,US-FL
IPv4,207.246.120.0/21,US,Piscataway,08854,US-NJ
IPv4,208.72.152.0/22,US,Honolulu,96819,US-HI
IPv4,208.76.220.0/22,ES,Madrid,28108,ES-M
IPv4,208.83.232.0/21,US,Honolulu,96819,US-HI
IPv4,208.85.16.0/21,ES,Madrid,28108,ES-M
IPv4,208.167.225.0/24,US,Piscataway,08854,US-NJ
IPv4,208.167.224.0/19,US,Piscataway,08854,US-NJ
IPv4,209.222.0.0/20,US,Piscataway,08854,US-NJ
IPv4,209.222.16.0/22,US,Piscataway,08854,US-NJ
IPv4,209.222.20.0/23,US,Piscataway,08854,US-NJ
IPv4,209.222.23.0/24,US,Piscataway,08854,US-NJ
IPv4,209.222.24.0/22,US,Piscataway,08854,US-NJ
IPv4,209.222.28.0/24,US,Elk Grove Village,60007,US-IL
IPv4,209.222.29.0/24,US,Los Angeles,90012,US-CA
IPv4,209.222.30.0/24,GB,London,E14 9SZ,GB-LND
IPv4,209.222.31.0/24,JP,Shinagawa-ku,142-0002,JP-13
IPv4,209.250.224.0/21,GB,London,E14 9SZ,GB-LND
IPv4,209.250.232.0/21,DE,Frankfurt,D-60314,DE-HE
IPv4,209.250.240.0/21,NL,Amsterdam,2031,NL-NH
IPv4,209.250.248.0/21,NL,Amsterdam,2031,NL-NH
IPv4,216.128.128.0/20,US,Dallas,75201,US-TX
IPv4,216.128.144.0/20,US,Elk Grove Village,60007,US-IL
IPv4,216.128.160.0/21,US,Maryland Heights,63043,US-MO
IPv4,216.128.168.0/21,BR,Osasco,06268-120,BR-SP
IPv4,216.128.176.0/20,CA,"Toronto, ON",M5A 2&5,CA-ON
IPv4,216.155.128.0/19,US,Piscataway,08854,US-NJ
IPv4,216.238.64.0/19,MX,Santiago de Queretaro,76246,MX-CMX
IPv4,216.238.96.0/19,BR,Osasco,06268-120,BR-SP
IPv4,217.69.0.0/20,FR,AUBERVILLIERS,93300,FR-93
IPv6,2001:19f0:8000::/38,US,Kent,98032,US-WA
IPv6,2001:19f0:7400::/38,GB,London,E14 9SZ,GB-LND
IPv6,2a05:f480:1000::/38,GB,London,E14 9SZ,GB-LND
IPv6,2001:19f0:5400::/38,US,Atlanta,30318,US-GA
IPv6,2001:19f0:9000::/38,US,Miami,33142,US-FL
IPv6,2001:19f0:7000::/38,JP,Shinagawa-ku,142-0002,JP-13
IPv6,2401:c080:1000::/38,JP,Shinagawa-ku,142-0002,JP-13
IPv6,2001:19f0:5000::/38,NL,Amsterdam,2031,NL-NH
IPv6,2a05:f480:1400::/38,NL,Amsterdam,2031,NL-NH
IPv6,2001:19f0:6000::/38,US,Los Angeles,90012,US-CA
IPv6,2001:19f0:6c00::/38,DE,Frankfurt,D-60314,DE-HE
IPv6,2001:19f0:9400::/38,DE,Frankfurt,D-60314,DE-HE
IPv6,2a05:f480:1800::/38,DE,Frankfurt,D-60314,DE-HE
IPv6,2001:19f0:b000::/38,CA,"Toronto, ON",M5A 2&5,CA-ON
IPv6,2001:19f0::/38,US,Piscataway,08854,US-NJ
